City,Start_Date,End_Date,Hotel_Name,Price,Hotel_Description_Short,Rating,url
Barcelona,2024-03-08,2024-03-09,Apartments Sixtyfour,€ 387,Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 80m²,9.2,https://www.booking.com/hotel/es/sixtyfour-apartments.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoOK-a0GwAIB0gIkZTAzMWFmMDktOGQ4OS00NDE3LTllOGMtMzlkM2UwN2M1YTE02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e09d61897e370117&srepoch=1706968343&all_sr_blocks=27146301_88496606_4_2_0&highlighted_blocks=27146301_88496606_4_2_0&matching_block_id=27146301_88496606_4_2_0&sr_pri_blocks=27146301_88496606_4_2_0__38654&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Barcelona,2024-03-08,2024-03-09,Melia Barcelona Sarriá,€ 170,,8.2,https://www.booking.com/hotel/es/melia-barcelona-sarria.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoOK-a0GwAIB0gIkZTAzMWFmMDktOGQ4OS00NDE3LTllOGMtMzlkM2UwN2M1YTE02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e09d61897e370117&srepoch=1706968343&all_sr_blocks=9048004_91988994_2_2_0&highlighted_blocks=9048004_91988994_2_2_0&matching_block_id=9048004_91988994_2_2_0&sr_pri_blocks=9048004_91988994_2_2_0__16976&nad_id=a59b41be-9001-4cbc-b3f4-dd26d216175a_0&nad_cpc=0.61&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IlB5UlVqV1o1YjJKVy9iU0pEa0U0TGh3SkJvWWYvTlNGL2JGN0owckZKaER1VGZyTExTNXkrYjM1U3JhbWRtM1lRTnpWVGJwN2JpK3BuNFZoMEVQY0VkTm85VnNURWYzOERXRmtxMmxYVDdXcWJBblZzOERYdlVrR01LMEFmekRqRGNkblRHcFpHYlFKWDBKYnA5blQ5ZmRKK0NwclRUdDdwd2lvdGdJZmd3TW5oWE1sY1JiOUpETi9jN1VvRjlaM0Q1T2ljNHpaTFF6ckZ1TTFoQ3o3MTBRMTVxNUd2R3IxOWFTOCtabGUzZHBwQnBWZUMwcDBqL3ljdnZSS3RKQm9kbHk2M2hLMVJiNEUrbEkvY3M5Umw3SHpROUxFbWdlMC95ekVsNkxxVEJ0WUVmTm9wdnU3RGhldUMyak9NVGprZ042WllNSkFlMVExVTcyQXFGYlZFc1FnU3lYemJNc1BzMDdqRHVvNUlJT0JNNkdZYVY1SGFlYlRyR2RJVUoxZWMwT2JWNEdWcnRUWk4vQVNtN2ZpOExWdk5NMzNjMWZLdGYwZUppRUM3bWVSYVNPaGpzeUo2TWU1Vyt1Uk9zbjRaayt4NnhKZkZKb3k3VC9qZW03YUlhRVMvcDBvdXJGMTZsOEF2WG9uV3pVcUk4cUxWTkY3M3FsNmV5b2xNayt4ZUFnTjl3UjlGSTZid2RtVFNndjVWU1hEMGE3eDNIWnNhODIyclpqOUFZYmMvZmZhVU1paUhJeGRNb0JpZzhaZVovSG9LeiswZ1pIcDlJanNOTDlNREVKQmRiYzkvS1Z0dW92U0RNdEdDMFBkNi8yWVpsRFI4aDAzQ09lbktYYjJYL1VUcThCMWxXUFdnUmh4cCs1VkFtRDRCZm8zY2psNVdGbUpFbUxCRDMwWm5GODFPTGFXOG5JRTkrcWhqR1h0bjBvMlVEdWJ4ekR6aHJhN2xUeWhkdDkwaS9zSmZUT3RSNW4ydVVLeFJyWGJCVkZkeHEwTDdOVmF3bldtMlRjdldZbzFnVDZRb01OS3BrdmlDWDdzK1dha01SRmkwemhDZXg3eitKT0c5V2Z4WWw4R0gxVUtuVUw3RlVJaUlNNmN3TTdXTHpoZHJZS0wwc0lHSHJ2amVNMWY0WituOHBTY3lYSU12UHIrU0xvSFVkdGtWMWQ2VmRLNEZON1BNbC82a1RvTFpVeW1hOVRTTHlJSmt2YWYxQjdHSFZFeFl2NlIwQi9GdUpTVWhoZjJkeGR6QkhiaEl0MHhBRE9qa1dSZDNRUlEvbDl2UzBGUllrKzB1RkZUaTBuSGJSY0hpZG0rektmd0tIM1Z5S3NFYXVKOUZPMUswWE5naDJhT0lKUmx2Z1ZFRmtBT1VTamdLQzVZSFRONWJJWlZWSy8wV1ZNVkRFWmRSYm94ZDJ0RFhUd21mV2VLOFZyYThxeVBNZjE4ZzQ3VE8rcHZLYWdaRTJ2RjZYUWJwRmVlK21CaFRjQjVGR01wRGJ1eE5NcFNZYnhHN0dqd1FOa1ZkcDROaGQ0QWZuRWJSMjkwbDRLYjFCenp4Z0tYd3RXb25VYUF3N2x5QzUzWElUeUQzNmtpbVZINFkyQ29xV1ZpSUtodkgxbDdjQlA4VDFuSlJyb1Z1NVpPQ0dZRGNPblFPUmtqUkFUY2VpdDNGZU11RkJkcFFEMWppWEhpb3JjL3JlVE8yTGJBUnVmVHR0cEQzV05wK2dialBwMWF1TmdtWklVZkFHblc0SWdrME15SjZlSkEwOUNXQzNjaDdxYndnOFVWbFdWU3JlVDg0WjVYLzQwMHpTbFcxdlNnRjBxb1IzVTlRSmRsWm9QakxmOFVNUjhySXJJckhIWklHdDBNeEZiaGFRZjRuNG1SUk82VWtUZW5KeVg3c3Zac21WaGFGdVlTWEpzM081VTRsWVhLMXprUU16aUxSZThXUTNFaGhNbElpVnk0U0tKNldrekdhQ0JadklPUjNIc2pTVC9hNldORE0rRkpFcnZENy84ZUJEOWxjcUhzZXp3NStMK2R0ZXZ4TFYvUVR0ck9GTFhEczhVekF6aG5UL0RrNGVXQlIxUGhzQVI5dHdOUTJybXltTW40MzlNdkpKWWZRN3E1U3dEd2IzeC9pTnY2ckxvYkowL3E4M3RWMjVSZ2h0QXkzMXR4dkg0RkNDd05HN0pmRkRUdi94T1hCcG1TVlRDbjhQRTV2ZEJQNjZqSkdHMzN5QmdlNFJIQnB4Nkp4bjdZUXYvQVlOUVNHVjJhZ3pDTUFNQThGZ0U1MlFVMGVxVk5waTBBMjJ4TnljNWhRRlJwL1JNaEd5NDd3NnVxUFhYQkZETHFpWTR5ZU53cmhzd3JGUGFPQ3d0Vyt4ZG1OSW5rNkM0amR0Y1JsMXk3T2dzL1ZtWVZhWWhoL1ZQd1d1N2ZWdHVRQk1FdGVQTDRqSmlOTUZmZzdsdmEvYUVkeXNmT2ZaS3lWQ2cxZ1ltYjZCT2NIVytGNVB0enExZzJjK2lQTlV2QUZFeDNreWUxMXR3b2p0SmQxTmsyZklUeTBQRFphcWJ1TlRha0swVFJNbExCblRubnF4ZGhWdFlRaytXaGpObEEvMDMvYWh5ZG9BZDZzMWx5RVJVbHdHR2xid0JiWGErRnUrdTlrMWFkOGlZQ3BjN09ueklZemFjVHZSQ0Ivc3VCVkVBaGxhZU1KMDFSUjVwanA5NnQxT2FsY01IZ3oxbEl5QzJDeUJuSDZWbXlSek5Xd0MwdklnT3d0VFl4WHBuYzVZTXBBRHR1alJTa3RSVHY2Zi9GWVBBbE5VQ3dBZTRBZTNaOVN0cmxGajBWY3U3K1IvOWJ0UnJvRzd3UlYwcHdWRWhoaU9oMThhMVl4dmVKNmk0Z3BTNG9xL3d4TXlhV25RVFlEeUhqSDRKbzFZY3oxVmVRSGRLRHQzUzJ5VFJad2J1MlFyeTNaMXFRYUR1MjVlZWZ1V2g1Y0xueUxFb2NhanhRSTA5bnNJdVdWSDZWZzRYTFVNV3JYQ0tBam9wZWI4ZVMxVnhQZS9EZjNzWVRVODFXTk9mM3E5UU5KenBJOGVod3d0ZDlUSTBOalR2WEZ5SnBOWjVENVFLSi9zV0VLVXcvRDRJWWhjNEJVc1N5cjFraUYrY0pZTUxLd1h6NFpxNnJoSDUwbzdNQ21nQkhQaThUR2pVWGFXWnl1ejVXOTRTeG9HQUlsbkw4NVFadzQ4cllyeGt2U29tOVRWWlFTZmRPVHY2aEFZTitlWERick1EM3QrUUZpRytsamFKUCJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Barcelona,2024-03-08,2024-03-09,H La Paloma Adults Only,€ 158,,7.6,https://www.booking.com/hotel/es/h-la-paloma.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoOK-a0GwAIB0gIkZTAzMWFmMDktOGQ4OS00NDE3LTllOGMtMzlkM2UwN2M1YTE02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e09d61897e370117&srepoch=1706968343&all_sr_blocks=90133605_93215977_0_0_0&highlighted_blocks=90133605_93215977_0_0_0&matching_block_id=90133605_93215977_0_0_0&sr_pri_blocks=90133605_93215977_0_0_0__15826&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Barcelona,2024-03-08,2024-03-09,Hostal Europa,€ 76,,7.5,https://www.booking.com/hotel/es/hostal-europa.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoOK-a0GwAIB0gIkZTAzMWFmMDktOGQ4OS00NDE3LTllOGMtMzlkM2UwN2M1YTE02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e09d61897e370117&srepoch=1706968343&all_sr_blocks=1670606_95141417_0_0_0&highlighted_blocks=1670606_95141417_0_0_0&matching_block_id=1670606_95141417_0_0_0&sr_pri_blocks=1670606_95141417_0_0_0__7576&from=searchresults#hotelTmpl
Barcelona,2024-03-08,2024-03-09,Magatzem 128,€ 157,,8.8,https://www.booking.com/hotel/es/b-amp-b-magatzem-128.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoOK-a0GwAIB0gIkZTAzMWFmMDktOGQ4OS00NDE3LTllOGMtMzlkM2UwN2M1YTE02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e09d61897e370117&srepoch=1706968343&all_sr_blocks=170623801_270572934_0_0_0&highlighted_blocks=170623801_270572934_0_0_0&matching_block_id=170623801_270572934_0_0_0&sr_pri_blocks=170623801_270572934_0_0_0__15726&from=searchresults#hotelTmpl
Barcelona,2024-03-08,2024-03-09,Zenit Barcelona,€ 160,,8.2,https://www.booking.com/hotel/es/zenitbarna.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoOK-a0GwAIB0gIkZTAzMWFmMDktOGQ4OS00NDE3LTllOGMtMzlkM2UwN2M1YTE02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e09d61897e370117&srepoch=1706968343&all_sr_blocks=9009902_252942648_2_42_0&highlighted_blocks=9009902_252942648_2_42_0&matching_block_id=9009902_252942648_2_42_0&sr_pri_blocks=9009902_252942648_2_42_0__15980&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Barcelona,2024-03-08,2024-03-09,Acta CITY47,€ 166,,8.5,https://www.booking.com/hotel/es/citypark.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoOK-a0GwAIB0gIkZTAzMWFmMDktOGQ4OS00NDE3LTllOGMtMzlkM2UwN2M1YTE02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e09d61897e370117&srepoch=1706968343&all_sr_blocks=9004514_138954531_0_2_0&highlighted_blocks=9004514_138954531_0_2_0&matching_block_id=9004514_138954531_0_2_0&sr_pri_blocks=9004514_138954531_0_2_0__16604&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Barcelona,2024-03-08,2024-03-09,Somnio Hostels,€ 103,,8.1,https://www.booking.com/hotel/es/somnio-barcelona.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoOK-a0GwAIB0gIkZTAzMWFmMDktOGQ4OS00NDE3LTllOGMtMzlkM2UwN2M1YTE02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e09d61897e370117&srepoch=1706968343&all_sr_blocks=9754204_364468894_2_2_0&highlighted_blocks=9754204_364468894_2_2_0&matching_block_id=9754204_364468894_2_2_0&sr_pri_blocks=9754204_364468894_2_2_0__10250&from=searchresults#hotelTmpl
Barcelona,2024-03-08,2024-03-09,Hostal la Palmera,€ 138,,8.6,https://www.booking.com/hotel/es/hostal-la-palmera.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoOK-a0GwAIB0gIkZTAzMWFmMDktOGQ4OS00NDE3LTllOGMtMzlkM2UwN2M1YTE02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e09d61897e370117&srepoch=1706968343&all_sr_blocks=39517107_376664648_0_0_0&highlighted_blocks=39517107_376664648_0_0_0&matching_block_id=39517107_376664648_0_0_0&sr_pri_blocks=39517107_376664648_0_0_0__13786&from=searchresults#hotelTmpl
Barcelona,2024-03-08,2024-03-09,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,€ 204,,8.4,https://www.booking.com/hotel/es/two-barcelona-by-axel.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoOK-a0GwAIB0gIkZTAzMWFmMDktOGQ4OS00NDE3LTllOGMtMzlkM2UwN2M1YTE02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e09d61897e370117&srepoch=1706968343&all_sr_blocks=131688502_261958602_0_2_0&highlighted_blocks=131688502_261958602_0_2_0&matching_block_id=131688502_261958602_0_2_0&sr_pri_blocks=131688502_261958602_0_2_0__20445&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
