City,Hotel_Name,url,Hotel_Description_Long
Barcelona,Magatzem 128,https://www.booking.com/hotel/es/b-amp-b-magatzem-128.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDC8q0GwAIB0gIkOTU5NWVjOGEtZjQxYS00MTA5LTg0MTMtOWU1ODIwNmMzN2I22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=87e438474b5c009d&srepoch=1706860819&all_sr_blocks=170623808_270572934_0_0_0&highlighted_blocks=170623808_270572934_0_0_0&matching_block_id=170623808_270572934_0_0_0&sr_pri_blocks=170623808_270572934_0_0_0__14926&from=searchresults#hotelTmpl,"Offering city views, Magatzem 128 is an accommodation situated in Barcelona, 1.4 km from Magic Fountain of Montjuic and 1.8 km from Passeig de Gracia. It is set 1.4 km from Sants Railway Station and offers a lift. The guest house has family rooms as well as facilities for disabled guests.

All units feature air conditioning and a cable flat-screen TV. Featuring a private bathroom with a shower and a hair dryer, units at the guest house also have free WiFi. At the guest house, units are equipped with bed linen and towels.

Popular points of interest near the guest house include Passeig de Gracia Metro Station, Casa Batllo and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 11 km from Magatzem 128."
Barcelona,H La Paloma Adults Only,https://www.booking.com/hotel/es/h-la-paloma.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDC8q0GwAIB0gIkOTU5NWVjOGEtZjQxYS00MTA5LTg0MTMtOWU1ODIwNmMzN2I22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=87e438474b5c009d&srepoch=1706860819&all_sr_blocks=90133605_93215977_0_0_0&highlighted_blocks=90133605_93215977_0_0_0&matching_block_id=90133605_93215977_0_0_0&sr_pri_blocks=90133605_93215977_0_0_0__15826&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"The H La Paloma is located in the Raval neighborhood, just 200 meters from the Sant Antoni market.
 The rooms at H La Paloma feature modern and elegant decoration.
They feature a king-size bed, free Wi-Fi, Smart TV and a private bathroom with a hairdryer and free toiletries. It also has private parking and 24-hour room service.
The H La Paloma has the ideal location to visit the major centers of interest on foot, being 600 meters from the MACBA Museum of Modern Art and just a 5-minute walk from Paseo de Gracia, Plaza de Catalunya and Las Ramblas.
The Sant Antoni and Universidad metro stations are just a few meters away."
Barcelona,Hostal Europa,https://www.booking.com/hotel/es/hostal-europa.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDC8q0GwAIB0gIkOTU5NWVjOGEtZjQxYS00MTA5LTg0MTMtOWU1ODIwNmMzN2I22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=87e438474b5c009d&srepoch=1706860819&all_sr_blocks=1670606_95141417_0_0_0&highlighted_blocks=1670606_95141417_0_0_0&matching_block_id=1670606_95141417_0_0_0&sr_pri_blocks=1670606_95141417_0_0_0__7576&from=searchresults#hotelTmpl,"This guest house is 100 metres from Liceu Metro Station and Barcelona’s famous Ramblas. Hostal Europa offers basic rooms in a central location, and has free Wi-Fi in public areas.

Most rooms at the Europa have shared bathroom facilities. Rooms with a private ensuite bathroom are available.

Barcelona’s main tourist attractions are within a short walk. The Boqueria Market is 200 metres from the Europa, and Barcelona Cathedral and Plaza Catalunya are a 5-minute walk away.

The Hostal Europa has a 24-hour front desk, and you can hire a car or bicycle at the tour desk.

A continental breakfast is served at a neighbouring restaurant."
Barcelona,Sixtytwo Hotel,https://www.booking.com/hotel/es/sixtytwo-barcelona.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDC8q0GwAIB0gIkOTU5NWVjOGEtZjQxYS00MTA5LTg0MTMtOWU1ODIwNmMzN2I22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=87e438474b5c009d&srepoch=1706860819&all_sr_blocks=18918409_269355254_0_2_0&highlighted_blocks=18918409_269355254_0_2_0&matching_block_id=18918409_269355254_0_2_0&sr_pri_blocks=18918409_269355254_0_2_0__24900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situated next to Barcelona’s Passeig de Gracia Station, this boutique hotel offers a stylish lounge. Rooms include a flat-screen TV and free WiFi.

The Sixtytwo Hotel is set in a typical 19th-century building. Each elegant room comes with a Nespresso coffee machine and a minibar. Some overlook Passeig de Gràcia Boulevard, while others overlook the hotel´s charming Japanese-style garden.

A continental breakfast is served daily at a cafe nearby. Staff at the 24-hour reception can help arrange car hire.

This boutique hotel offers 45 spacious and stylish rooms. It is situated in Barcelona's famous Passeig de Gràcia, next to Diagonal Avenue, the city’s best shopping area, where you can also find a wide variety of restaurants and tapas bars.

Hotel Sixtytwo is across the road from Gaudí’s Casa Batlló, and La Pedrera is just 3 minutes' walk away. It is just a 10-minute walk from Plaza Catalunya. Nearby Passeig de Gràcia Station offers Metro services and direct airport trains."
Barcelona,Hotel Acta Azul Barcelona,https://www.booking.com/hotel/es/hotelazulbarcelona.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDC8q0GwAIB0gIkOTU5NWVjOGEtZjQxYS00MTA5LTg0MTMtOWU1ODIwNmMzN2I22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=87e438474b5c009d&srepoch=1706860819&all_sr_blocks=9176003_139392383_0_2_0&highlighted_blocks=9176003_139392383_0_2_0&matching_block_id=9176003_139392383_0_2_0&sr_pri_blocks=9176003_139392383_0_2_0__16450&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set just off Plaça d’Espanya and at the foot of Montjuïc, Hotel Acta Azul Barcelona offers stylish accommodation in central Barcelona. It features a roof terrace, 24-hour reception and free Wi-Fi.

Las Ramblas and the city’s Gothic Quarter can be reached in less than 10 minutes, by Metro and here you will find where a selection of bars and restaurants.

Each of the Azul’s spacious rooms has bright décor and wooden flooring. All rooms have air conditioning, satellite TV and a desk.

The hotel is a 5-minute walk from Barcelona’s Fira Conference Centre and Plaça d’Espanya’s Magic Fountains. Montjuïc Park and the MNAC Gallery are within 1 km of the hotel. The bullring-turned-shopping centre of Las Arenas is next door."
Barcelona,Hotel Cantón,https://www.booking.com/hotel/es/canton-barcelona.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDC8q0GwAIB0gIkOTU5NWVjOGEtZjQxYS00MTA5LTg0MTMtOWU1ODIwNmMzN2I22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=87e438474b5c009d&srepoch=1706860830&all_sr_blocks=27373213_348629260_2_2_0&highlighted_blocks=27373213_348629260_2_2_0&matching_block_id=27373213_348629260_2_2_0&sr_pri_blocks=27373213_348629260_2_2_0__13696&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Hotel Cantón is situated in central Barcelona, less than 300 metres from Las Ramblas and the city’s Old Port. It offers 24-hour reception and rooms with satellite TV and free Wi-Fi access throughout.

The Cantón has brightly decorated rooms with private bathrooms. Each has a fridge, air conditioning and heating.

The Cantón serves a daily breakfast and has a vending machine selling hot drinks. Guests can make use of the hotel’s TV room, where there is also computer.

The Cantón has easy access to many of Barcelona’s tourist attractions and has a tour desk. Plaza Reial is less than 5 minutes’ walk from the hotel and there are several bars and restaurants within walking distance.

Drassanes Metro Station is under 500 metres from the Cantón and Sants Train Station is 5 stops away."
Barcelona,Barcelona House,https://www.booking.com/hotel/es/barcelona-house.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDC8q0GwAIB0gIkOTU5NWVjOGEtZjQxYS00MTA5LTg0MTMtOWU1ODIwNmMzN2I22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=40&sr_order=popularity&srpvid=87e438474b5c009d&srepoch=1706860830&all_sr_blocks=17531103_0_2_1_0&highlighted_blocks=17531103_0_2_1_0&matching_block_id=17531103_0_2_1_0&sr_pri_blocks=17531103_0_2_1_0__16574&from=searchresults#hotelTmpl,"Barcelona House Hotel is in Barcelona’s Gothic Quarter, 80 metres from the Ramblas. The hotel offers modern, air-conditioned rooms with wooden floors, free wired internet and a flat-screen TV.

Barcelona Cathedral and the Boquería Market are 500 metres away. The port and Maremagnum Shopping Centre are a 10-minute walk from the hotel. You can walk to Barceloneta Beach in 20 minutes or take a bus.

Rooms are also heated and have a safe. The private bathrooms come with a hairdryer.

There are many bars, restaurants and galleries near the Barcelona House. The Picasso Museum and fashionable Borne district are a 10-minute walk away.

There is a 24-hour front desk and luggage storage is available."
Barcelona,AC Hotel Victoria Suites by Marriott,https://www.booking.com/hotel/es/victoriasuites.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDC8q0GwAIB0gIkOTU5NWVjOGEtZjQxYS00MTA5LTg0MTMtOWU1ODIwNmMzN2I22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=43&sr_order=popularity&srpvid=87e438474b5c009d&srepoch=1706860830&all_sr_blocks=9113114_374081658_2_2_0&highlighted_blocks=9113114_374081658_2_2_0&matching_block_id=9113114_374081658_2_2_0&sr_pri_blocks=9113114_374081658_2_2_0__20230&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Beautiful and stylish suites located in the heart of Pedralbes, one of the top residential areas of Barcelona and close to one of the city's main business districts.

AC Hotel Victoria Suites is ideal for business travellers due its location, for weekend breaks due its tranquil environment and excellent gastronomy offer as well for families due the spaciousness of the rooms.

It features a large terrace-bar, a high quality restaurant, friendly staff and many other details."
Barcelona,Casa Abamita,https://www.booking.com/hotel/es/mayerling-abamita-apartments.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDC8q0GwAIB0gIkOTU5NWVjOGEtZjQxYS00MTA5LTg0MTMtOWU1ODIwNmMzN2I22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=44&sr_order=popularity&srpvid=87e438474b5c009d&srepoch=1706860830&all_sr_blocks=158998608_326128883_2_0_0&highlighted_blocks=158998608_326128883_2_0_0&matching_block_id=158998608_326128883_2_0_0&sr_pri_blocks=158998608_326128883_2_0_0__21805&from=searchresults#hotelTmpl,"Featuring air conditioning, Casa Abamita offers accommodation in Barcelona. Plaça Catalunya is 600 metres from the property. Free WiFi is offered throughout the property.

The accommodation offers studios and rooms. The studios are equipped with a kitchenette with a ceramic hob. Both roomms and studios have, a  flat-screen TV, microwave and fridge. All have a private bathroom with a hairdryer. Towels and bed linen are featured.

Portal de l'Angel is 600 metres from Casa Abamita, while La Seu, Cathedral of Barcelona is 700 metres away. The nearest airport is Barcelona El Prat Airport, 13 km from Casa Abamita."
Barcelona,Ilunion Les Corts Spa,https://www.booking.com/hotel/es/ilunionlescorts.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDC8q0GwAIB0gIkOTU5NWVjOGEtZjQxYS00MTA5LTg0MTMtOWU1ODIwNmMzN2I22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=48&sr_order=popularity&srpvid=87e438474b5c009d&srepoch=1706860830&all_sr_blocks=9126303_351711637_0_2_0&highlighted_blocks=9126303_351711637_0_2_0&matching_block_id=9126303_351711637_0_2_0&sr_pri_blocks=9126303_351711637_0_2_0__15060&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Ilunion Les Corts Spa features a seasonal outdoor swimming pool, fitness centre, a terrace and bar in Barcelona. With free WiFi, this 4-star hotel offers room service and a 24-hour front desk. The accommodation provides a concierge service, a tour desk and currency exchange for guests.

The hotel will provide guests with air-conditioned rooms with a desk, a kettle, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a bidet. At Ilunion Les Corts Spa every room comes with bed linen and towels.

A gluten-free breakfast is available daily at the accommodation.

Camp Nou is less than 1 km from Ilunion Les Corts Spa, while Sants Railway Station is 3.5 km away. The nearest airport is Barcelona El Prat Airport, 11 km from the hotel.

The hotel is a 15-minute drive from Plaza España, from where the shuttles leave to the Montjuic field."
