,place,start_date,end_date,name,price,description_short,rating,url,description
0,Marseille,2024-03-08,2024-03-17,Résidence Kley,€ 477,,7.6,https://www.booking.com/hotel/fr/residence-kley.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4At33ua0GwAIB0gIkOTZiOWUzZjktNmIwMi00MTdiLTk1MmUtY2NiNmEyZGFmYjc52AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-1449947&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=33f565f82c980173&srepoch=1705933812&all_sr_blocks=475981502_334327798_2_0_0&highlighted_blocks=475981502_334327798_2_0_0&matching_block_id=475981502_334327798_2_0_0&sr_pri_blocks=475981502_334327798_2_0_0__47736&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Résidence Kley has a shared lounge, terrace, water sports facilities and tennis court in Marseille. Located around 1.1 km from Joliette Metro Station, the hotel with free WiFi is also 1.3 km away from Les Terrasses du Port Shopping Centre. The accommodation offers evening entertainment and a shared kitchen.

At the hotel, the rooms have a desk. At Résidence Kley all rooms are fitted with bed linen and towels.

You can play table tennis at the accommodation, and the area is popular for hiking and windsurfing.

Marseille Saint-Charles Train Station is 1.2 km from Résidence Kley, while Vieux Port Metro station is 1.9 km from the property. The nearest airport is Marseille Provence Airport, 21 km from the hotel."
1,Marseille,2024-03-08,2024-03-17,La Terrasse du Saint James,€ 515,,,https://www.booking.com/hotel/fr/la-terrasse-du-saint-james.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4At33ua0GwAIB0gIkOTZiOWUzZjktNmIwMi00MTdiLTk1MmUtY2NiNmEyZGFmYjc52AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-1449947&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=33f565f82c980173&srepoch=1705933812&all_sr_blocks=1131506001_385800560_2_0_0&highlighted_blocks=1131506001_385800560_2_0_0&matching_block_id=1131506001_385800560_2_0_0&sr_pri_blocks=1131506001_385800560_2_0_0__51524&from=searchresults#hotelTmpl,"Located in Marseille, 2.3 km from Fausse Monnaie and 2.5 km from Plage de Maldorme, La Terrasse du Saint James offers air conditioning. Popular points of interest nearby include Notre-Dame de la Garde Basilica, Castellane Metro Station and Marseille Saint-Charles Train Station. The property is 1.5 km from Plage des Catalans, and within 200 metres of the city centre.

With free WiFi, this 1-bedroom apartment provides a flat-screen TV, a washing machine and a fully equipped kitchen with a fridge. The accommodation offers a fireplace.

Popular points of interest near the apartment include Saint-Ferreol Street, Vieux Port Metro station and Palais du Pharo. The nearest airport is Marseille Provence Airport, 23 km from La Terrasse du Saint James."
2,Marseille,2024-03-08,2024-03-17,Staycity Aparthotels Marseille Centre Vieux Port,€ 630,Entire studio • 1 bathroom • 21m²,8.7,https://www.booking.com/hotel/fr/staycity-aparthotels-centre-vieux-port.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4At33ua0GwAIB0gIkOTZiOWUzZjktNmIwMi00MTdiLTk1MmUtY2NiNmEyZGFmYjc52AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-1449947&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=33f565f82c980173&srepoch=1705933812&all_sr_blocks=198372801_93980877_2_2_0&highlighted_blocks=198372801_93980877_2_2_0&matching_block_id=198372801_93980877_2_2_0&sr_pri_blocks=198372801_93980877_2_2_0__62988&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Featuring free WiFi, Staycity Aparthotels Marseille Centre Vieux Port offers air-conditioned accommodation in Marseille, only 550 metres from the port. Marseille Saint-Charles train station is a 12-minute walk away from the property.

All apartments and studios are accessible via a lift and feature a flat-screen TV. Each unit has a kitchenette fitted with a dishwasher, microwave, toaster, fridge, stovetop, coffee machine and kettle. There is a private bathroom with free toiletries in each unit. Towels and bed linen are offered.

Bars, shops and restaurants can be found within a 2-minute walk of the property.

The nearest metro station is only 44 metres from the property. Velodrome Stadium is 6.4 km from Staycity Aparthotels Marseille, while La Canebiere is 1 km away. The nearest airport is Marseille Provence Airport, 24 km from the property.

Some units come with a balcony."
3,Marseille,2024-03-08,2024-03-17,LaFrenchCasa Canebière,€ 543,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 27m²,7.3,https://www.booking.com/hotel/fr/lafrenchcasa-canebiere.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4At33ua0GwAIB0gIkOTZiOWUzZjktNmIwMi00MTdiLTk1MmUtY2NiNmEyZGFmYjc52AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-1449947&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=33f565f82c980173&srepoch=1705933812&all_sr_blocks=831378204_350322259_2_0_0&highlighted_blocks=831378204_350322259_2_0_0&matching_block_id=831378204_350322259_2_0_0&sr_pri_blocks=831378204_350322259_2_0_0__54344&from=searchresults#hotelTmpl,"LaFrenchCasa Canebière is set in the Vieux Port - La Canebière district of Marseille, 500 metres from Vieux Port Metro station, 1.7 km from Joliette Metro Station and 1.9 km from Les Terrasses du Port Shopping Centre. This apartment offers air-conditioned accommodation with free WiFi. The property is 2.3 km from Plage des Catalans, and within less than 1 km of the city centre.

There is also a well-fitted kitchen in some of the units equipped with an oven, a microwave, and a toaster. At the apartment complex, the units include a private bathroom.

Popular points of interest near the apartment include Marseille Saint-Charles Train Station, Saint-Ferreol Street and Castellane Metro Station. The nearest airport is Marseille Provence Airport, 22 km from LaFrenchCasa Canebière."
4,Marseille,2024-03-08,2024-03-17,Odalys City Marseille Centre Euromed,€ 888,Entire studio • 1 bathroom • 23m²,8.4,https://www.booking.com/hotel/fr/odalys-city-marseille-centre-euromed.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4At33ua0GwAIB0gIkOTZiOWUzZjktNmIwMi00MTdiLTk1MmUtY2NiNmEyZGFmYjc52AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-1449947&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=33f565f82c980173&srepoch=1705933812&all_sr_blocks=1012726201_373897213_0_2_0&highlighted_blocks=1012726201_373897213_0_2_0&matching_block_id=1012726201_373897213_0_2_0&sr_pri_blocks=1012726201_373897213_0_2_0__88800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Less than 1 km from Joliette Metro Station, Odalys City Marseille Centre Euromed features a sustainable 4-star accommodation in the Euromed - La Joliette district of Marseille. A hammam and a bicycle rental service are available for guests. The accommodation provides a sauna, free WiFi throughout the property and family rooms.

Accommodation is fitted with air conditioning, a fully equipped kitchenette with a dining area, a flat-screen TV and a private bathroom with shower and a hair dryer. At the aparthotel, all units include bed linen and towels.

A selection of options including fresh pastries, fruits and juice is served for the buffet breakfast.

The aparthotel also offers a plunge pool and an indoor pool for guests to relax in.

Les Terrasses du Port Shopping Centre is less than 1 km from Odalys City Marseille Centre Euromed, while Museum of European and Mediterranean Civilisations is 2.2 km away. The nearest airport is Marseille Provence Airport, 20 km from the accommodation."
5,Marseille,2024-03-08,2024-03-17,"3 NIGHTS MINIMUM, Renovated entire flat, city of Marseille, 4 people",€ 667,,,https://www.booking.com/hotel/fr/renovated-entire-flat-city-of-marseille-4-people-max-3-night-mini.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4At33ua0GwAIB0gIkOTZiOWUzZjktNmIwMi00MTdiLTk1MmUtY2NiNmEyZGFmYjc52AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-1449947&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=33f565f82c980173&srepoch=1705933812&all_sr_blocks=1139097701_386796541_2_0_0&highlighted_blocks=1139097701_386796541_2_0_0&matching_block_id=1139097701_386796541_2_0_0&sr_pri_blocks=1139097701_386796541_2_0_0__66659&from=searchresults#hotelTmpl,"Renovated entire flat, city of Marseille, 4 people max, 3 night mini is set in Marseille, 1.4 km from La Timone Metro Station, 1.5 km from Saint-Ferreol Street, as well as 1.6 km from Vieux Port Metro station. The property is around 1.4 km from Marseille Saint-Charles Train Station, 3.1 km from Museum of European and Mediterranean Civilisations and 3.3 km from Joliette Metro Station. The property is non-smoking and is situated 1.5 km from Castellane Metro Station.

The apartment includes 1 bedroom and a living room with a TV. Towels and bed linen are available in the apartment.

Les Terrasses du Port Shopping Centre is 3.4 km from the apartment, while Notre-Dame de la Garde Basilica is 3.7 km from the property. The nearest airport is Marseille Provence Airport, 23 km from Renovated entire flat, city of Marseille, 4 people max, 3 night mini."
6,Marseille,2024-03-08,2024-03-17,Le Ryad Boutique Hôtel,€ 932,,7.9,https://www.booking.com/hotel/fr/le-ryad-marseille.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4At33ua0GwAIB0gIkOTZiOWUzZjktNmIwMi00MTdiLTk1MmUtY2NiNmEyZGFmYjc52AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-1449947&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=33f565f82c980173&srepoch=1705933812&all_sr_blocks=7569103_360261376_2_2_0&highlighted_blocks=7569103_360261376_2_2_0&matching_block_id=7569103_360261376_2_2_0&sr_pri_blocks=7569103_360261376_2_2_0__93168&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Le Ryad is located in the heart of Marseille, just 50 metres from La Canebiere and 1 km from the Old Port. It offers Moroccan-style rooms with free Wi-Fi internet access.

With a courtyard and an oriental garden, Le Ryad offers a range of uniquely decorated rooms, accessed through a staircase. Each is equipped with air conditioning and a private bathroom.

There is a tea salon open daily that serves mint tea, fruit juices and Moroccan pastries.

There are 2 breakfast options, a simple one and another one including fresh orange juice, fresh fruit salad, Moroccan crepe, yogurt, croissants, bread, butter, honey, jam and hot beverage.

Le Ryad is 300 metres from the Reformés Canebiere Metro Station, and 850 metres from the Marseille Saint-Charles Train Station. Public parking is available 100 metres from the property."
7,Marseille,2024-03-08,2024-03-17,Les Cocons - Appartements d'Hôtes Design,€ 812,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 18m²,7.8,https://www.booking.com/hotel/fr/appart-fortia.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4At33ua0GwAIB0gIkOTZiOWUzZjktNmIwMi00MTdiLTk1MmUtY2NiNmEyZGFmYjc52AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-1449947&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=33f565f82c980173&srepoch=1705933812&all_sr_blocks=45180803_345930297_0_0_0&highlighted_blocks=45180803_345930297_0_0_0&matching_block_id=45180803_345930297_0_0_0&sr_pri_blocks=45180803_345930297_0_0_0__81179&from=searchresults#hotelTmpl,"Located 300 metres from the old harbour, Appartements d’Hôtes Design offers accommodations decorated in a design-style with parquet flooring. They all include a flat-screen TV and an equipped kitchen. Free Wi-Fi access is provided.

The bathroom is fitted with a shower. After a long day of sightseeing, you can rest in the seating area of your air-conditioned accommodation.

The kitchen is equipped with a stove, a coffee machine and a dining area.  Restaurants and bars can be found right at the bottom of the building.

It is situated 1.4 km from Saint-Charles Train Station and 100 metres from Vieux-Port Hôtel de Ville Metro Station. There is a public car park at a location nearby."
8,Marseille,2024-03-08,2024-03-17,"Le Borély: Appartement climatisé avec 2 chambres, à 800m de la plage","€ 1,229",,8.4,https://www.booking.com/hotel/fr/le-borely-appartement-climatise-avec-2-chambres-a-800m-de-la-plage-marseille.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4At33ua0GwAIB0gIkOTZiOWUzZjktNmIwMi00MTdiLTk1MmUtY2NiNmEyZGFmYjc52AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-1449947&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=33f565f82c980173&srepoch=1705933812&all_sr_blocks=759971201_376395256_4_0_0&highlighted_blocks=759971201_376395256_4_0_0&matching_block_id=759971201_376395256_4_0_0&sr_pri_blocks=759971201_376395256_4_0_0__122899&from=searchresults#hotelTmpl,"Located in Marseille, just less than 1 km from Bonneveine, Le Borély: Appartement climatisé avec 2 chambres, à 800m de la plage provides beachfront accommodation with a garden, a terrace and free WiFi. The air-conditioned accommodation is 1.1 km from Plage de l'Huveaune. The property is non-smoking and is set 1.1 km from Borely.

The apartment is equipped with 2 bedrooms, a flat-screen TV with cable channels and a fully equipped kitchen that provides guests with a dishwasher, an oven, a washing machine, a microwave and a toaster. Towels and bed linen are provided in the apartment. For added privacy, the accommodation features a private entrance.

Orange Velodrome Stadium is 2.4 km from the apartment, while Rond-Point du Prado Metro Station is 2.6 km away. The nearest airport is Marseille Provence Airport, 28 km from Le Borély: Appartement climatisé avec 2 chambres, à 800m de la plage."
9,Marseille,2024-03-08,2024-03-17,#LaFrenchCasa Belsunce,€ 509,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 28m²,7.3,https://www.booking.com/hotel/fr/t2-deco-mediterranee-lafrenchcasa-belsunce.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4At33ua0GwAIB0gIkOTZiOWUzZjktNmIwMi00MTdiLTk1MmUtY2NiNmEyZGFmYjc52AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-08&checkout=2024-03-17&dest_id=-1449947&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=33f565f82c980173&srepoch=1705933812&all_sr_blocks=828026101_348176681_2_0_0&highlighted_blocks=828026101_348176681_2_0_0&matching_block_id=828026101_348176681_2_0_0&sr_pri_blocks=828026101_348176681_2_0_0__50944&from=searchresults#hotelTmpl,"#LaFrenchCasa Belsunce is set in the Vieux Port - La Canebière district of Marseille, 700 metres from Vieux Port Metro station, 1.5 km from Joliette Metro Station and 600 metres from Marseille Saint-Charles Train Station. There is a private entrance at the apartment for the convenience of those who stay. The property is less than 1 km from the city centre and 2.5 km from Plage des Catalans.

The air-conditioned units have a fully equipped kitchen with dining area, an oven, coffee machine, and a microwave. Some units feature a seating area and/or a terrace with an outdoor dining area. All units have a private bathroom with a shower and a hair dryer.

Popular points of interest near the apartment include Les Terrasses du Port Shopping Centre, Museum of European and Mediterranean Civilisations and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 22 km from #LaFrenchCasa Belsunce."
