,place,start_date,end_date,name,price,description_short,rating,url,description
0,Porto,2024-02-23,2024-03-03,São Domingos Residences 1,€ 917,Entire studio • 1 bathroom • 35m²,8.3,https://www.booking.com/hotel/pt/sao-domingos-residence-3.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Ave0ua0GwAIB0gIkYjBlYTA1ODEtY2VhOS00YjM2LTg3NDUtNmZiMmY1MDdkM2Ri2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-2173088&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=09265544f87e058c&srepoch=1705925259&all_sr_blocks=1043582401_376730548_2_0_0&highlighted_blocks=1043582401_376730548_2_0_0&matching_block_id=1043582401_376730548_2_0_0&sr_pri_blocks=1043582401_376730548_2_0_0__91710&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"São Domingos Residences 1 is a recently renovated apartment in the centre of Porto, 400 metres from Ribeira Square and 300 metres from Palacio da Bolsa. Among the facilities at this property are luggage storage space and private check-in and check-out, along with free WiFi throughout the property. Clerigos Tower is 700 metres from the apartment and Oporto Coliseum is 1.2 km away.

The apartment is fitted with a cable flat-screen TV. Towels and bed linen are featured in the apartment. This apartment is allergy-free and non-smoking.

Popular points of interest near the apartment include Ferreira Borges Market, Sao Bento Metro Station and Sao Bento Train Station. The nearest airport is Francisco Sá Carneiro Airport, 16 km from São Domingos Residences 1."
1,Porto,2024-02-23,2024-03-03,Village Aparthotel By BOA,"€ 1,114",Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 30m²,9.4,https://www.booking.com/hotel/pt/village-by-boa.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Ave0ua0GwAIB0gIkYjBlYTA1ODEtY2VhOS00YjM2LTg3NDUtNmZiMmY1MDdkM2Ri2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-2173088&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=09265544f87e058c&srepoch=1705925259&all_sr_blocks=857294702_373946106_0_2_0&highlighted_blocks=857294702_373946106_0_2_0&matching_block_id=857294702_373946106_0_2_0&sr_pri_blocks=857294702_373946106_0_2_0__111411&nad_id=ed6bd716-d27b-4e8d-b7c8-3aaa40e17edf_1&nad_cpc=0.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjhwUmN6WEcrbFVwMHdONFg4UTFmSW9SNWFNQmdEMG1hUitzNzE2bW1KQitldm41NmluZmQzM0IrdXVEdVRTditxMDhmYWFBS24rem51RmJwcUxOR051QjVDTTdpc0Z6NndjRXpNUi9RV1RYWitPOVhMSU0zU0dMd1d6NXRKaWQ2RFdBcGhOK212SlhaZ2ducXJjalJrKzNLdG1zeHJFdGZSN3U0cXZSWjJwcUhLTlp2TWNWZGUvYlovVm5CYmxrUUhYSkREWkcxTE9kVi84Nnk5U1VxcFNMYUtmZDNJZ0VsNEppdE0wZ0RpcGY4Um5objBBT2luaU1YRE5yYWVNTk5EdHZESmhUOHBUTklrTDl2UkF5c0RqOUIrbVY3ZU5wbmJMOGUycWR6RGVvajVhTXBRL2JUVFNkaXM2SWJlNEIyWlcrQjJxNW1ZOEhOWTlCOWo4bDRDM29SVWlBajZwOEtzeWUzM0pmNi9lMHNOVW0wSFhsUXZhcGZXM3BSWkNJMEJaanRKY0NURTZSUGNsSmNHMVlrcE8yd3p4UE50Mjg5NEt0eWd2SlJKcS9GaXZ4ZFlQZ2Jud2dKQ2RXRDhSK1gvWmNXWXdhQUFLL0RJcmJSaDgrRVBZeFRqaStJc2tvRnh1UjY4bkpIWnFQUG16ejZpYmlFNUNrd0FFVlJaMWt0Y3VickNFZVpOSXUzcGprZ2xXTFZxK0ZQTk5jVk1CaUNwWnVRajk1T0hXaWJhKzR0cGpabU5PRTdFaFVvMVIzaG1vOTVxQm4rMFFsaVl3OFRGZFFOSkhBSnpuRGJlRW9iWjVWTGNnVUFzd3RLT3RmbFBUUHBobFZvdDZwTkFWeEV2MUNvSldlNmh3QStKVmdjaWtzdHpKeHlsaFlnY05CUXBNbFJSSmVYcHZQQjYyb3c2QXBuK092eWswbzZpc1ZkS1RhTmw4NjQyWjhiblB3TGdsbDQ3UmNpZHBFR2ZOV2hjb3hMeFUyVW9hWmZhYWE2clVlUW9oMFQ5QVAwSWFQMktrZEl4SFlCbzhTZ0dDTHJZcGxod3RyS0dKNWhpdlFCNnNySmlnRTZOYUhLUmVpYndJKzdzNHUxeUNnYm1KTW1XSFhFUHZqUWlmWFIzOW1JOEpkMFRWSGRQL1lCeFVrdUtOZ0NEQS9wRFp3ZVVvbTZtem4vaU54b0Rtc1BMbDhjeVFoandzQmo5NGg1VW1JaFRhTW1ZUWxnWmxKRHIrV3FobDRSYTZMYW8xWEg1cjdQVXEyMTJCdWV3eHBXMXAxV29RY0FudlRuckVPM2NHbUt1VHlCd2xOblZjTjd3b3dVZHQvNXBKUE0weHY1UEdKemNEY1o0U1cwRCtmUUtkaXZzaDhWbVFTenlFSnc1TlJzYjdnRWJuZEd6UFZQV2ZrZkxMdDh4Z2JlYUE2TUpieW9nY1JWOVM2QlFpYXB4NkxPbUJRc2xMQm5mclJVcXdUKzZPamRCQkRLUTczY25GT1R5aTFIcE5tSGhQSTM2bUxCL0d3WTArcDJPRWUzNnNIdm5wVkg4clV1ZjkwcmYvbW9za0VDTVdIT1V3S1pUNHFrbWlWSUpaTytNQmRGYlVXWVQrNUZvd3NmR2hzQncvbDBIWFUwUkFPbUcrSXJRdjgveWdwOFU0d21nRFNtNjJaNDZmaTBOQkc1RFVEWnJvU2t6U2VscmVUVElsWEdmUm5rZEdvVDhoa28zNC84TFQzZEp5MHdHSmRDMFpxT0RlWnhzQmtUUndlRHg3Yno1cVlxYVdEcUJMT0Rrbm43dmxVQjlIUURHaWJYc3FDOEFhWTV2L2hMV3ZrTkZBNzU0OE9BZzliVTdqN0xDU2oyUGV0M3FIZE50UlF1RkQyVnVISVl0MlVYWWg0ZWZMSjFwYUtyem1Bc3ZpTFJMb3M1bGdaZVp6Y1Y2VGx0RzVBUXRvTHc2M1FVVzhQQXkzOUtmYnJvNFZ5SmorcXFoaUJxbmNxdHFhSnp1aDZieHkySFI5SGQ2UHZNaTh4WUc2NDZsMFR1UU5jS3h0RTArYm5jSFNrZUpVTDVGMnBTK1JqcS9wSEh2MUZEZzVHM3BEMlFNYnF0eEY4QTlNRkxyOUFHS3h2KzFrNGUwQ3IrT3kvVmQxTmVXNkxUeEpRVVhXNVF4RXFLU1hTdXRFVmVveGsyeGk1QkhKejFFaUs1NXRtWXVNMUhETDRTMk92UndrVzJReW9nTVp0VGNUY2JOR1JOSlRFemJuSkowN2xyMWE0Y0lVNjA4UFFGNjV2aXZxa2VheHZKeGZUN3p4OG9MTzc3aUh1eWhvWW51UVZzeWxhRkFHVXZUQUFrWVRjcStoV1RUc2VFVzZRT2pWZWZZSURibmd0bUJTQnBvSkQ2ZEV6eU5RYkxaVCtDT3pOSFBKRTR0Zy9EWjE3TlMxdlpNMkp1ekN6d3ZxdWdLNG05S0JSWFJrRmM4bkt6TEtmRnJuM3NyVHA0d1dwOGFoWTR2N1RGSlNkSE05Wlh6Uk1kOEd3MGwvOFljemQ2dUo2MGsxbnBROEtTK0szaTdTd0FDRGtnRlNxb1BQamM1YU1hOHluTENSRU1hcDl2cmxpclRjb3V5dGtjWjJxd3RpcXlJdmd0Y3Z2ZWV1MlVROUJMMDl3L2l1bDJqdVpPY3VJTzgwejM0RkNiYkhScjlxVlo5bVRibTZXMUQrSnlkQXl3RGsvekhkcnoxZTBJTHB5bnphMXYxWlZVYmZBcTEzOXlVeGJsVUl0dFVmK2JkYm5vY01NMUpxYkNTQU4reEdxVEJ5NGszN0NJZzZ6clo0RkdpZHdabmNsZjcrd3diZm9jMGpZV1F4OHhlckJUd3hTcTBkNjZNNTZRYmNNVmRYSUNOUHFjT3F3Zlp3V0xRNmcvYkVTTTRKRkZWMTE4c0VRUmtpWmd0QVNrUUFLZU1IcGNOcmMxQUVNbXFFMEd1NGxRQWN2NExkamZxbTB1KzVMUHlzenpyZnZtc1Q5bWc3OGFtWHJlQVRsSTFzV3F3QUFocFE1Qk9qRlBsVGpQdkVhL2hjODZKcXlrdTVvWVJUTmVReGhjV3JXOFJGemhUemRSS2FOUGVUK2s3dlFlNGQ3Y1ZVaXJ3Vzc2R2hIL2NKN1RsbFRGazRlZmd3c0NwZ2h0Slg3WFRpTVNzQTdQT3F4K1RUTTRoM1N1ZXhLeXZjM0VUNGQvbHdUOUNzWFE3MXB2Ujg1UVoxOGRka0g0RGhpb0VYQkhEUWhBWmZBaEVta3E1dW90RTB5aHc0eGtrN0Fqc3hyVTNGalJJeHYxN0R0L1hpdk0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in Porto, less than 1 km from Oporto Coliseum and 600 metres from the centre, Village Aparthotel By BOA offers air-conditioned accommodation with free WiFi, and a garden. This recently renovated aparthotel is located less than 1 km from Sao Bento Metro Station and a 9-minute walk from Sao Bento Train Station. Featuring family rooms, this property also provides guests with a sun terrace.

The aparthotel provides guests with a patio, a seating area, a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, and a private bathroom with shower and a hair dryer. A microwave, a toaster and fridge are also featured, as well as a coffee machine and a kettle. At the aparthotel, the units are equipped with bed linen and towels.

Continental and vegetarian breakfast options with fruits, juice and cheese are available every morning at the aparthotel. A minimarket is available at the aparthotel.

The aparthotel has a picnic area where you can spend a day out in the open.

Popular points of interest near Village Aparthotel By BOA include Clerigos Tower, Palacio da Bolsa and Ferreira Borges Market. The nearest airport is Francisco Sá Carneiro, 15 km from the accommodation, and the property offers a paid airport shuttle service."
2,Porto,2024-02-23,2024-03-03,Downtown PortoEdition,€ 868,Entire studio • 1 bathroom • 1 kitchen • 20m²,9.8,https://www.booking.com/hotel/pt/caldei.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Ave0ua0GwAIB0gIkYjBlYTA1ODEtY2VhOS00YjM2LTg3NDUtNmZiMmY1MDdkM2Ri2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-2173088&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=09265544f87e058c&srepoch=1705925259&all_sr_blocks=1059553701_378209323_2_0_0&highlighted_blocks=1059553701_378209323_2_0_0&matching_block_id=1059553701_378209323_2_0_0&sr_pri_blocks=1059553701_378209323_2_0_0__86750&from=searchresults#hotelTmpl,"Downtown PortoEdition provides accommodation within 700 metres of the centre of Porto, with free WiFi, and a kitchen with a dishwasher, an oven and a microwave. The property is around 400 metres from Ribeira Square, 600 metres from Sao Bento Metro Station and 600 metres from Sao Bento Train Station. When staying at the apartment, guests can use private entrance.

The units are equipped with air conditioning, a flat-screen TV with cable channels, a toaster, a coffee machine, a a bath or shower, a hair dryer and a wardrobe. All units are fitted with a kettle and a private bathroom, while selected rooms have a balcony and some have inner courtyard views. At the apartment complex, every unit has bed linen and towels.

Popular points of interest near Downtown PortoEdition include Palacio da Bolsa, Ferreira Borges Market and Clerigos Tower. The nearest airport is Francisco Sá Carneiro Airport, 15 km from the accommodation."
3,Porto,2024-02-23,2024-03-03,Pao de Acucar Hotel,€ 653,,8.2,https://www.booking.com/hotel/pt/paodeacucarhotelporto.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Ave0ua0GwAIB0gIkYjBlYTA1ODEtY2VhOS00YjM2LTg3NDUtNmZiMmY1MDdkM2Ri2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-2173088&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=09265544f87e058c&srepoch=1705925259&all_sr_blocks=3867618_373555151_0_2_0&highlighted_blocks=3867618_373555151_0_2_0&matching_block_id=3867618_373555151_0_2_0&sr_pri_blocks=3867618_373555151_0_2_0__65300&from=searchresults#hotelTmpl,"Located in Porto’s historic centre, 100 metres from Avenida dos Aliados and the Metro station, this hotel offers art déco-style interiors, a multilingual staff and a spacious terrace. The Douro River is 15 minutes’ walk away.

All rooms at Pão de Açúcar Hotel feature double-glazed windows, vintage furnishings and include a private bathroom. Every room has air conditioning, satellite TV and a minibar, and some rooms also feature a terrace.

Breakfast is served daily, guests can enjoy it in the breakfast room or on the terrace, which overlooks the historical Porto City Hall building. There are many restaurants and bars within a few minutes’ walk.

Guests can relax with a book borrowed from the hotel’s library, or visit the old toy and retro collection, with vintage bumper cars from the 70's. From Pão de Açúcar, you can enjoy a short walk to the Port Wine Cellars and taste some of the world-famous Port Wine. Sao Bento Railway Station is 500 metres away.

Francisco Sá Carneiro Airport is a 15-minute drive away, and 30 minutes by metro. Car parking is available nearby for an additional fee."
4,Porto,2024-02-23,2024-03-03,HF Ipanema Park,€ 742,,8.2,https://www.booking.com/hotel/pt/ipanemapark.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Ave0ua0GwAIB0gIkYjBlYTA1ODEtY2VhOS00YjM2LTg3NDUtNmZiMmY1MDdkM2Ri2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-2173088&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=09265544f87e058c&srepoch=1705925259&all_sr_blocks=3870758_385254880_0_0_0&highlighted_blocks=3870758_385254880_0_0_0&matching_block_id=3870758_385254880_0_0_0&sr_pri_blocks=3870758_385254880_0_0_0__74200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Featuring an outdoor swimming pool, this 5-star hotel offers a rooftop bar with Porto and Douro River views. The HF Ipanema Park is 1 km from Serralves Museum and Garden.

The hotel provides a variety of rooms and suites, all with cable channels and Sport TV. A mini-bar, 24-hour room service and free WiFi are also featured in all air-conditioned rooms.

The hotel has six charging stations for electric cars, two of which are fast-charging (22 kVa), available for an additional fee. We do not accept reservations. For more information, please contact the reception desk upon arrival!

Guests can enjoy their meals at the Jardim d’Inverno Restaurant or have a snack at the Twin Trees snack bar. The seaside area of Foz do Douro, with its restaurants, bars and cafes, is a 5-minute drive.

After a session at the gym, guests can enjoy a relaxing massage in our spa for an additional fee. Babysitting services are available.

The Ribeira UNESCO World Heritage site is a 10-minute drive from the Ipanema Park, and Francisco Sá Carneiro International Airport is 12 km away."
5,Porto,2024-02-23,2024-03-03,YOTEL Porto,€ 701,,8.7,https://www.booking.com/hotel/pt/yotel-porto-porto.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Ave0ua0GwAIB0gIkYjBlYTA1ODEtY2VhOS00YjM2LTg3NDUtNmZiMmY1MDdkM2Ri2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-2173088&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=09265544f87e058c&srepoch=1705925259&all_sr_blocks=558999102_354742823_0_42_0&highlighted_blocks=558999102_354742823_0_42_0&matching_block_id=558999102_354742823_0_42_0&sr_pri_blocks=558999102_354742823_0_42_0__70120&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in Porto, 1.1 km from Sao Bento Metro Station, YOTEL Porto offers accommodation with a fitness centre, private parking, a garden and a terrace. Among the facilities of this property are a restaurant, room service and a 24-hour front desk, along with free WiFi throughout the property. Certain units at the property feature a balcony with a city view.

The hotel will provide guests with air-conditioned rooms with a desk, a kettle, a fridge, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At YOTEL Porto all rooms come with bed linen and towels.

Popular points of interest near the accommodation include Sao Bento Train Station, Oporto Coliseum and Clerigos Tower. The nearest airport is Francisco Sá Carneiro Airport, 15 km from YOTEL Porto."
6,Porto,2024-02-23,2024-03-03,Studios Baixa Downtown Porto,€ 691,Private suite,9.1,https://www.booking.com/hotel/pt/studio-52-baixa-downtown-porto.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Ave0ua0GwAIB0gIkYjBlYTA1ODEtY2VhOS00YjM2LTg3NDUtNmZiMmY1MDdkM2Ri2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-2173088&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=09265544f87e058c&srepoch=1705925259&all_sr_blocks=149587202_242349271_2_0_0&highlighted_blocks=149587202_242349271_2_0_0&matching_block_id=149587202_242349271_2_0_0&sr_pri_blocks=149587202_242349271_2_0_0__69111&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in Porto, a 2-minute walk from Paris Galleries Street, Studios Baixa Downtown Porto offers accommodation with free WiFi.

Each unit comes with a sofa bed, a modern and efficient air conditioning system, a flat-screen TV with cable channels, and a private bathroom with large shower. The ""Suite"" has not a kitchen but is provided with a microwave and small fridge, a dinning table with 2 chairs as well a coffee machine and an electric teapot. The ""Studio"" is provided with a well-fitted kitchenette.

Clérigos Tower is 300 meters from the apartment. The nearest airport is Porto Airport, 18 km from the properties."
7,Porto,2024-02-23,2024-03-03,Dragon Studio,€ 508,,,https://www.booking.com/hotel/pt/dragon-studio.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Ave0ua0GwAIB0gIkYjBlYTA1ODEtY2VhOS00YjM2LTg3NDUtNmZiMmY1MDdkM2Ri2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-2173088&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=09265544f87e058c&srepoch=1705925259&all_sr_blocks=1053457801_377535017_4_0_0&highlighted_blocks=1053457801_377535017_4_0_0&matching_block_id=1053457801_377535017_4_0_0&sr_pri_blocks=1053457801_377535017_4_0_0__50800&from=searchresults#hotelTmpl,"Dragon Studio is set in the Paranhos district of Porto, 2.2 km from Sao Bento Train Station, 2.4 km from Music House and 2.5 km from Boavista Roundabout. The property is located 2.6 km from Oporto Coliseum, 2.9 km from Clerigos Tower and 3.1 km from FC Porto Museum. Free WiFi is available throughout the property and Sao Bento Metro Station is 2.1 km away.

The apartment is composed of 1 bedroom, a fully equipped kitchen, and 1 bathroom. A flat-screen TV is featured. The accommodation is non-smoking.

Ferreira Borges Market is 3.4 km from the apartment, while Campanha Train Station is 3.5 km away. The nearest airport is Francisco Sá Carneiro Airport, 14 km from Dragon Studio."
8,Porto,2024-02-23,2024-03-03,TRYP by Wyndham Porto Centro Hotel,€ 643,,8.2,https://www.booking.com/hotel/pt/hoteltrypportocentro.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Ave0ua0GwAIB0gIkYjBlYTA1ODEtY2VhOS00YjM2LTg3NDUtNmZiMmY1MDdkM2Ri2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-2173088&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=09265544f87e058c&srepoch=1705925259&all_sr_blocks=3876627_379549278_2_2_0&highlighted_blocks=3876627_379549278_2_2_0&matching_block_id=3876627_379549278_2_2_0&sr_pri_blocks=3876627_379549278_2_2_0__64300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situated in downtown Porto, this hotel is a 6-minute walk from shopping on Rua de Santa Catarina. It offers air-conditioned guestrooms with satellite TV. Private outdoor parking is available on site, along with a charging station for electrical vehicles.

Rooms at the Tryp Oporto Centro Hotel have parquet floors and modern wood furnishings. They come equipped with a minibar and a private bathroom with a hairdryer. Some rooms feature an elliptic bicycle. Free WiFi is available throughout the property.

Guests of Hotel Tryp can benefit from the laundry and dry cleaning services. Staff at the 24-hour front desk assist with car hire and offer information on local attractions.

Hotel Tryp Oporto Centro is situated 550 metres from the Marques Subway Station, and is a 5-minute walk from several restaurants serving traditional Portuguese cuisine."
9,Porto,2024-02-23,2024-03-03,AC Hotel Porto by Marriott,€ 663,,8.2,https://www.booking.com/hotel/pt/marriott-lifestyle-hotel.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Ave0ua0GwAIB0gIkYjBlYTA1ODEtY2VhOS00YjM2LTg3NDUtNmZiMmY1MDdkM2Ri2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-2173088&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=09265544f87e058c&srepoch=1705925259&all_sr_blocks=3949608_246419120_0_2_0&highlighted_blocks=3949608_246419120_0_2_0&matching_block_id=3949608_246419120_0_2_0&sr_pri_blocks=3949608_246419120_0_2_0__66295&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"A 5-minute walk from Estadio do Dragão Metro Station, the modern AC Hotel Porto offers a fitness room, sauna and business centre. With a 24-hour front desk, it has free WiFi in public areas.

Decorated in contrasting colours, each bright and spacious room includes floor-to-ceiling curtains. They offer air conditioning, a flat-screen cable TV and minibar. The private bathrooms provide free toiletries.

The AC Hotel Porto is situated 4 km from the Campanhã Train Station, which offers connections to Lisbon and Vigo in Galicia, Spain. Porto’s Francisco Sá Carneiro Airport is 12 km away."
